省份ID	省名称	市ID	市名称	区县ID	区县名称
1	广东省	1	珠海市	2856	市辖区
1	广东省	1	珠海市	2857	香洲区
1	广东省	1	珠海市	2858	斗门区
1	广东省	1	珠海市	2859	金湾区
1	广东省	1	珠海市	3022	拱北区
1	广东省	1	珠海市	3023	前山区
1	广东省	1	珠海市	3024	拱北区
1	广东省	2	广州市	1826	市辖区
1	广东省	2	广州市	1827	东山区
1	广东省	2	广州市	1828	荔湾区
1	广东省	2	广州市	1829	越秀区
1	广东省	2	广州市	1830	海珠区
1	广东省	2	广州市	1831	天河区
1	广东省	2	广州市	1832	从化市
1	广东省	2	广州市	1833	芳村区
1	广东省	2	广州市	1834	白云区
1	广东省	2	广州市	1835	黄埔区
1	广东省	2	广州市	1836	番禺区
1	广东省	2	广州市	1837	花都区
1	广东省	2	广州市	1838	增城市
1	广东省	9	深圳市	104	市辖区
1	广东省	9	深圳市	105	罗湖区
1	广东省	9	深圳市	106	福田区
1	广东省	9	深圳市	107	南山区
1	广东省	9	深圳市	108	宝安区
1	广东省	9	深圳市	109	龙岗区
1	广东省	9	深圳市	110	盐田区
1	广东省	20	江门市	358	市辖区
1	广东省	20	江门市	359	蓬江区
1	广东省	20	江门市	360	江海区
1	广东省	20	江门市	361	新会区
1	广东省	20	江门市	362	台山市
1	广东省	20	江门市	363	开平市
1	广东省	20	江门市	364	鹤山市
1	广东省	20	江门市	365	恩平市
1	广东省	21	韶关市	1374	市辖区
1	广东省	21	韶关市	1375	武江区
1	广东省	21	韶关市	1376	浈江区
1	广东省	21	韶关市	1377	曲江区
1	广东省	21	韶关市	1378	始兴县
1	广东省	21	韶关市	1379	仁化县
1	广东省	21	韶关市	1380	翁源县
1	广东省	21	韶关市	1381	乳源瑶族自治县
1	广东省	21	韶关市	1382	新丰县
1	广东省	21	韶关市	1383	乐昌市
1	广东省	21	韶关市	1384	南雄市
1	广东省	22	惠州市	366	惠东县
1	广东省	22	惠州市	367	龙门县
1	广东省	22	惠州市	368	市辖区
1	广东省	22	惠州市	369	惠城区
1	广东省	22	惠州市	370	惠阳区
1	广东省	22	惠州市	371	博罗县
1	广东省	23	梅州市	2860	蕉岭县
1	广东省	23	梅州市	2861	兴宁市
1	广东省	23	梅州市	2862	市辖区
1	广东省	23	梅州市	2863	梅江区
1	广东省	23	梅州市	2864	梅　县
1	广东省	23	梅州市	2865	大埔县
1	广东省	23	梅州市	2866	丰顺县
1	广东省	23	梅州市	2867	五华县
1	广东省	23	梅州市	2868	平远县
1	广东省	24	汕头市	1839	市辖区
1	广东省	24	汕头市	1840	龙湖区
1	广东省	24	汕头市	1841	金平区
1	广东省	24	汕头市	1842	濠江区
1	广东省	24	汕头市	1843	潮阳区
1	广东省	24	汕头市	1844	潮南区
1	广东省	24	汕头市	1845	澄海区
1	广东省	24	汕头市	1846	南澳县
1	广东省	25	佛山市	786	市辖区
